Publications
The Economist
Columbia Journalism Review
The Walrus
Medium
Wired
New York Magazine
The New York Times
Village Voice
Racked
Crixeo
Extra Crispy
The Guardian
The Daily Beast
Atlas Obscura
Vice Sports
Pacific Standard
Playboy
Tablet Magazine
Al-jazeera English
Smithsonian Magazine
The Nation
Next City
Citylab
Slate
Buzzfeed
The New Yorker
Washington Post
Artforum
Complex
Ozy
Truthout
The Guardian (us)
In These Times
Motherboard (vice)
Roads & Kingdoms
The Fix
Self Magazine
The Paris Review
Huffington Post
Narratively
Quartz
Bitch
Bustle
Into
Foreign Policy
Tonic (Vice)
The Cut (New York Magazine)
Hello Giggles
The Establishment
Broadly (vice)
The New Republic
Autostraddle
Are We Europe
Ravishly
Pitchfork
The Tempest
The Hairpin
Teen Vogue
The Atlantic
The Bold Italic
Vice
Rolling Stone
The New Inquiry
Broadly
Bust
Hyperallergic
Los Angeles Review Of Books
The Billfold
The Financial Diet
Alternet
Dazed
Refinery29
Outside Online
Xojane
Ebony
Kill Screen
Paste Magazine
Salon
Almost Fearless
